Drink,Ingredient,Amount,IngredientUse,Glass
Archangel,Cucumber Slice,2,Muddle,Coupe
Archangel,Lemon Twist,1,Garnish,Coupe
Archangel,Aperol,.75oz,Build,Coupe
Astoria Bianco,House Orange Bitters,2dashes,Build,Coupe
Astoria Bianco,Tanqueray Gin,2.5oz,Build,Coupe
Astoria Bianco,Martini Bianco Vermouth,1oz,Build,Coupe
Astoria Bianco,Orange Twist,1,Garnish,Coupe
Aviation,Beefeater Gin,2oz,Build,Coupe
Aviation,Lemon Juice,.75oz,Build,Coupe
Aviation,Luxardo Maraschino Liqueur,.5oz,Build,Coupe
Aviation,Rothman & Winter Creme de Violette,.25oz,Build,Coupe
Beachbum,Flor de Cana Silver Dry Rum,1oz,Build,Tiki Mug
Beachbum,Mount Gay Eclipse Amber Rum,1oz,Build,Tiki Mug
Beachbum,Pineapple Juice,1oz,Build,Tiki Mug
Beachbum,Orange-Cherry Flag,1,Garnish,Tiki Mug
Beachbum,Umbrella,1,Garnish,Tiki Mug
Beachbum,Lime Juice,.75oz,Build,Tiki Mug
Beachbum,Kassatly Chtaura Orgeat,.5oz,Build,Tiki Mug
Beachbum,Rothman & Winter Orchard Apricot,.5oz,Build,Tiki Mug
Beer and a Smoke,Victory Pilsner,6oz,Top,Collins
Beer and a Smoke,Cholula,4dashes,Build,Collins
Beer and a Smoke,Sombra Mezcal,1oz,Build,Collins
Beer and a Smoke,The Bitter Truth Celery Bitters,1dash,Build,Collins
Beer and a Smoke,Lime Zest,1,Garnish,Collins
Beer and a Smoke,Orange Zest,1,Garnish,Collins
Beer and a Smoke,Lime Juice,.75oz,Build,Collins
Beer and a Smoke,Celery Salt,,Rim,Collins
Beer and a Smoke,Ground Black Pepper,,Rim,Collins
Beer and a Smoke,Kosher Salt,,Rim,Collins
Beer Cassis,Brooklyn Brewery Local 1,6oz,Top,Wine
Beer Cassis,Dubonnet Rouge,1oz,Build,Wine
Beer Cassis,Lemon Twist,1,Garnish,Wine
Beer Cassis,Theurlet Creme de Cassis,.25oz,Build,Wine
Bee's Knees,Plymouth Gin,2oz,Build,Coupe
Bee's Knees,Honey Syrup,.75oz,Build,Coupe
Bee's Knees,Lemon Juice,.75oz,Build,Coupe
Bee's Sip,Chamomile-Infused Barsol Quebranta Pisco,2.5oz,Build,Coupe
Bee's Sip,"Masumi ""Okuden"" Junmai Sake",1oz,Build,Coupe
Bee's Sip,Lemon Twist,1,Garnish,Coupe
Bee's Sip,Barenjager Honey Liqueur,.5oz,Build,Coupe
Bee's Sip,St. Germain Elderflower Liqueur,,Rinse,Coupe
Benton's Old-Fashioned,Benton's Bacon Fat-Infused Four Roses Bourbon,2oz,Build,Rocks
Benton's Old-Fashioned,Angostura Bitters,2dashes,Build,Rocks
Benton's Old-Fashioned,Orange Twist,1,Garnish,Rocks
Benton's Old-Fashioned,Deep Mountain Grade B Maple Syrup,.25oz,Build,Rocks
Berlioni,Tanqueray Gin,1.5oz,Build,Rocks
Berlioni,Orange Twist,1,Garnish,Rocks
Berlioni,Cynar,.75oz,Garnish,Rocks
Berlioni,Noilly Prat Dry Vermouth,.5oz,Garnish,Rocks
Betsy Ross,Pierre Ferrand Ambre Cognac,2oz,Build,Coupe
Betsy Ross,Angostura Bitters,2dashes,Build,Coupe
Betsy Ross,Pinch Grated Nutmeg,1,Garnish,Coupe
Betsy Ross,Dow's Ruby Port,.75oz,Build,Coupe
Betsy Ross,Grand Marnier,.5oz,Build,Coupe
